,Incr_rate,HousePriceIndex,FutureGrowth,FutureValue,Appreciation
3908,109.7165991902834,0.065,1.065,283881.9566597174,76681.95665971743
3909,89.56999085086916,0.065,1.065,283881.9566597174,76681.95665971743
3910,117.28155339805826,0.042,1.042,412372.72827078274,76672.72827078274
3911,61.94111232279171,0.047,1.047,373671.3987517519,76671.39875175193
3912,69.25592804578903,0.065,1.065,283607.9393270343,76607.93932703428
3913,137.53541076487252,0.042,1.042,412004.20930003136,76604.20930003136
3914,200.23094688221707,0.053,1.053,336600.8465561281,76600.84655612812
3915,81.05849582172702,0.053,1.053,336600.8465561281,76600.84655612812
3916,193.86503067484662,0.042,1.042,411881.3696431142,76581.36964311422
3917,106.2586926286509,0.047,1.047,373168.13760865194,76568.13760865194
3918,135.96730245231606,0.053,1.053,336341.922828008,76541.92282800801
3919,69.25081433224756,0.053,1.053,336341.922828008,76541.92282800801
3920,44.493882091212456,0.053,1.053,336341.922828008,76541.92282800801
3921,158.5648148148148,0.042,1.042,411635.69032928,76535.69032927998
3922,180.85308056872037,0.047,1.047,372790.69175132696,76490.69175132696
3923,101.2907608695652,0.047,1.047,372790.69175132696,76490.69175132696
3924,102.72397094430991,0.042,1.042,411390.01101544575,76490.01101544575
3925,55.485564304461946,0.047,1.047,372664.8764655519,76464.8764655519
3926,202.50208507089243,0.039,1.039,439162.54516257026,76462.54516257026
3927,105.49575070821531,0.039,1.039,439162.54516257026,76462.54516257026
3928,327.8901734104046,0.047,1.047,372539.0611797769,76439.06117977691
3929,116.92307692307693,0.047,1.047,372539.0611797769,76439.06117977691
3930,134.6590909090909,0.065,1.065,282922.89599532646,76422.89599532646
3931,403.47222222222223,0.039,1.039,438920.38219308446,76420.38219308446
3932,73.09941520467837,0.047,1.047,372413.2458940019,76413.24589400191
3933,137.06591070163006,0.042,1.042,410898.6523877772,76398.65238777723
3934,133.26359832635984,0.042,1.042,410898.6523877772,76398.65238777723
3935,42.786343612334804,0.053,1.053,335694.6135077078,76394.61350770778
3936,227.57685352622065,0.039,1.039,438678.2192235986,76378.2192235986
3937,152.38558909444987,0.053,1.053,335565.1516436477,76365.1516436477
3938,155.38579067990833,0.042,1.042,410652.973073943,76352.973073943
3939,51.64102564102564,0.047,1.047,372035.8000366769,76335.80003667693
3940,95.10542168674698,0.053,1.053,335435.6897795877,76335.68977958767
3941,163.65622723962127,0.039,1.039,438314.9747693698,76314.97476936982
3942,113.11728395061729,0.05,1.05,352508.9675625001,76308.9675625001
3943,149.03846153846155,0.053,1.053,335306.2279155276,76306.22791552759
3944,120.52715654952078,0.05,1.05,352381.3394062501,76281.3394062501
3945,177.24137931034483,0.039,1.039,438072.811799884,76272.81179988402
3946,133.4193548387097,0.039,1.039,438072.811799884,76272.81179988402
3947,182.13728549141965,0.039,1.039,437951.7303151411,76251.73031514109
3948,172.08427389014295,0.039,1.039,437830.64883039816,76230.64883039816
3949,112.02346041055718,0.039,1.039,437709.56734565523,76209.56734565523
3950,216.7397020157756,0.039,1.039,437588.4858609123,76188.4858609123
3951,77.54120879120879,0.053,1.053,334658.91859522735,76158.91859522735
3952,31.887755102040817,0.053,1.053,334658.91859522735,76158.91859522735
3953,134.9531116794544,0.05,1.05,351743.1986250001,76143.19862500008
3954,99.79674796747967,0.047,1.047,371029.2777504769,76129.2777504769
3955,78.0952380952381,0.065,1.065,281826.826664594,76126.826664594
3956,135.7798165137615,0.065,1.065,281689.8179982524,76089.8179982524
3957,118.2962962962963,0.047,1.047,370777.6471789269,76077.64717892691
3958,67.98959011060506,0.053,1.053,334270.5330030472,76070.53300304723
3959,119.22317314022384,0.042,1.042,409056.0575340204,76056.0575340204
3960,126.9256987048398,0.042,1.042,408933.21787710325,76033.21787710325
3961,77.58620689655173,0.039,1.039,436498.752498226,75998.75249822601
3962,11.471861471861471,0.039,1.039,436498.752498226,75998.75249822601
3963,129.13223140495867,0.042,1.042,408687.538563269,75987.53856326902
3964,248.45261121856868,0.039,1.039,436256.5895287402,75956.58952874021
3965,179.0859798605732,0.039,1.039,436256.5895287402,75956.58952874021
3966,172.17821782178217,0.05,1.05,350849.8015312501,75949.80153125012
3967,148.39527027027026,0.047,1.047,370022.75546427694,75922.75546427694
3968,105.88907947398513,0.039,1.039,436014.42655925435,75914.42655925435
3969,205.7774001699235,0.039,1.039,435772.2635897685,75872.2635897685
3970,146.14740368509214,0.047,1.047,369771.1248927269,75871.12489272689
3971,120.81141998497371,0.047,1.047,369771.1248927269,75871.12489272689
3972,139.82532751091702,0.05,1.05,350466.9170625001,75866.91706250008
